college,State,region
Vermilion Community College,MN,Region 7B (Ramsey)
Gustavus Adolphus College,MN,Region 7B (Ramsey)
Hamline University,MN,Region 7B (Ramsey)
Hibbing Community College,MN,Region 7B (Ramsey)
Itasca Community College,MN,Region 7B (Ramsey)
Luther Seminary,MN,Region 7B (Ramsey)
Macalester College,MN,Region 7B (Ramsey)
"Minnesota State University, Mankato",MN,Regions 3 and 4
Martin Luther College,MN,Regions 3 and 4
Minneapolis Community and Technical College,MN,Regions 3 and 4
Minneapolis College of Art & Design,MN,Region 7B (Ramsey)
Crossroads College,MN,Region 7B (Ramsey)
Minnesota State University Moorhead,MN,Region 7A (Hennepin)
North Central University,MN,Region 7A (Hennepin)
North Hennepin Community College,MN,Region 7A (Hennepin)
University of Northwestern- St Paul,MN,Region 7A (Hennepin)
Rochester Community and Technical College,MN,Regions 3 and 4
Southwest Minnesota State University,MN,Regions 3 and 4
