,OPE ID,School,State_x,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,State_y,Region,CITY,STABBR,COSTT4_A
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,FL,Circuit 1,Miami,FL,17242.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,FL,Circuit 1,Orange Park,FL,23984.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,FL,Circuit 1,Largo,FL,6266.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,LA,Regions 2 and 9,Baton Rouge,LA,26599.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,"Boards 2, 46, 55, and 68",Ravenna,OH,26330.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,"Boards 2, 46, 55, and 68",Cuyahoga Falls,OH,25988.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,"Boards 2, 46, 55, and 68",Centerville,OH,25246.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,"Boards 2, 46, 55, and 68",Westerville,OH,21238.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,"Boards 2, 46, 55, and 68",Cincinnati,OH,29521.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,Boards 23 and 45,Ravenna,OH,26330.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,Boards 23 and 45,Cuyahoga Falls,OH,25988.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,Boards 23 and 45,Centerville,OH,25246.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,Boards 23 and 45,Westerville,OH,21238.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,OH,Boards 23 and 45,Cincinnati,OH,29521.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,VA,Region 5,Norfolk,VA,41826.0
26,2341000,fortis college,AL,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,VA,Region 5,Richmond,VA,22749.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,AL,Region 2,Mobile,AL,14388.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,AL,Region 2,Montgomery,AL,22500.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,AL,Region 3,Mobile,AL,14388.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,AL,Region 3,Montgomery,AL,22500.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,FL,Circuit 10,Winter Park,FL,29141.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,FL,Circuit 10,Tampa,FL,30524.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,FL,Circuit 10,Miami,FL,17242.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,FL,Circuit 10,Orange Park,FL,23984.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,FL,Circuit 10,Largo,FL,6266.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,FL,Circuit 1,Winter Park,FL,29141.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,FL,Circuit 1,Tampa,FL,30524.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,FL,Circuit 1,Miami,FL,17242.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,FL,Circuit 1,Orange Park,FL,23984.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,FL,Circuit 1,Largo,FL,6266.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,LA,Regions 2 and 9,Baton Rouge,LA,26599.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,OH,"Boards 2, 46, 55, and 68",Ravenna,OH,26330.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,OH,"Boards 2, 46, 55, and 68",Cuyahoga Falls,OH,25988.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,OH,"Boards 2, 46, 55, and 68",Centerville,OH,25246.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,OH,"Boards 2, 46, 55, and 68",Westerville,OH,21238.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,OH,"Boards 2, 46, 55, and 68",Cincinnati,OH,29521.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,OH,Boards 23 and 45,Ravenna,OH,26330.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,OH,Boards 23 and 45,Cuyahoga Falls,OH,25988.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,OH,Boards 23 and 45,Centerville,OH,25246.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,OH,Boards 23 and 45,Westerville,OH,21238.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,OH,Boards 23 and 45,Cincinnati,OH,29521.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,VA,Region 5,Norfolk,VA,41826.0
27,3361400,fortis college,AL,36535-0000     ,Proprietary,17,29642,28326,0,0,0,114,19533,32528,VA,Region 5,Richmond,VA,22749.0
28,101700,gadsden state community college,AL,35903-2269     ,Public,107,189955,173163,0,0,0,433,175330,209817,AL,Region 1,Gadsden,AL,11091.0
29,101800,george c. wallace community college,AL,36303-0943     ,Public,58,137926,129070,0,0,0,327,127981,124466,AL,Region 1,Dothan,AL,7878.0
30,787100,george c. wallace state community college,AL,35077-2000     ,Public,78,213592,185382,0,0,0,486,238834,243391,AL,Region 4,Hanceville,AL,13603.0
31,569900,george corley wallace state community college - selma,AL,36703-2808     ,Public,51,126953,88459,0,0,0,210,164262,147335,AL,Region 4,Selma,AL,15257.0
32,573400,h. councill trenholm state technical college,AL,36108-0020     ,Public,27,54927,35857,0,0,0,164,51885,66006,AL,Region 4,Montgomery,AL,10070.0
33,2199700,heritage christian university,AL,35630-6245     ,Private/Non-Profit,7,5937,6895,0,0,0,27,5544,7392,AL,Region 4,Florence,AL,21087.0
34,101900,huntingdon college,AL,36106-2148     ,Private/Non-Profit,162,100375,99994,37,0,55123,104,92714,92714,AL,Region 1,Montgomery,AL,30655.0
36,102000,jacksonville state university,AL,36265-1602     ,Public,177,421149,401196,0,0,0,438,231778,235325,AL,Region 1,Jacksonville,AL,18748.0
38,102100,jefferson davis community college,AL,36427-2790     ,Public,18,36870,29814,0,0,0,78,32743,39500,AL,Region 2,Brewton,AL,9781.0
39,102200,jefferson state community college,AL,35215-3098     ,Public,111,435096,351069,0,0,0,811,336833,437100,AL,Region 2,Birmingham,AL,13162.0
40,102300,judson college,AL,36756-2504     ,Private/Non-Profit,96,48153,64204,11,0,37912,19,10857,14476,AL,Region 3,Marion,AL,26925.0
41,105900,lawson state community college,AL,35221-1798     ,Public,184,272919,230619,0,0,0,379,240000,222735,AL,Region 2,Birmingham,AL,12430.0
42,898800,lurleen b. wallace community college,AL,36420-0418     ,Public,101,149009,147197,0,0,0,154,48410,46200,AL,Region 4,Andalusia,AL,13241.0
43,102600,marion military institute,AL,36756-3214     ,Public,29,16000,17623,0,0,0,34,14724,16200,AL,Region 3,Marion,AL,18120.0
44,102800,miles college,AL,35064-2697     ,Private/Non-Profit,286,322846,278390,0,0,0,397,300208,342911,AL,Region 2,Fairfield,AL,20688.0
45,103100,northeast alabama community college,AL,35986-0159     ,Public,45,96614,98699,0,0,0,165,68275,63149,AL,Region 4,Rainsville,AL,7650.0
46,569700,northwest - shoals community college,AL,35662-3206     ,Public,49,104972,120317,0,0,0,242,94785,67734,AL,Region 4,Muscle Shoals,AL,8783.0
47,103300,oakwood university,AL,35896-0001     ,Private/Non-Profit,75,226411,186396,0,0,0,158,278941,247792,AL,Region 1,Huntsville,AL,33441.0
48,569200,reid state technical college,AL,36401-0000     ,Public,102,49546,26539,0,0,0,84,51346,63306,AL,Region 4,Evergreen,AL,9013.0
50,103600,samford university,AL,35229-7000     ,Private/Non-Profit,267,507432,379979,339,0,911285,267,96795,279566,AL,Region 2,Birmingham,AL,36895.0
52,569100,shelton state community college,AL,35405-4017     ,Public,74,162622,151588,0,0,0,216,165904,156579,AL,Region 4,Tanner,AL,9372.0
52,569100,shelton state community college,AL,35405-4017     ,Public,74,162622,151588,0,0,0,216,165904,156579,AL,Region 4,Tuscaloosa,AL,13133.0
53,103800,snead state community college,AL,35957-0734     ,Public,34,60868,70133,0,0,0,71,44402,40402,AL,Region 4,Boaz,AL,10645.0
54,2270400,southeastern bible college,AL,35244-2083     ,Private/Non-Profit,7,9909,13212,0,0,0,39,10843,14457,AL,Region 4,Birmingham,AL,17721.0
55,104000,southern union state community college,AL,36276-0000     ,Public,149,118031,137539,0,0,0,209,103663,143977,AL,Region 4,Wadley,AL,12351.0
56,104100,spring hill college,AL,36608-1791     ,Private/Non-Profit,218,124449,183729,112,0,204000,340,105992,141323,AL,Region 2,Mobile,AL,41156.0
57,104400,stillman college,AL,35401-1430     ,Private/Non-Profit,165,213000,204184,0,0,0,368,323189,314865,AL,Region 2,Tuscaloosa,AL,25548.0
58,104600,talladega college,AL,35160-2354     ,Private/Non-Profit,106,162608,130542,0,0,0,240,321995,330174,AL,Region 2,Talladega,AL,18302.0
59,104700,troy university,AL,36082-0001     ,Public,537,1217986,1165936,105,0,353924,449,879300,896153,AL,Region 4,Troy,AL,16721.0
60,105000,tuskegee university,AL,36088-1645     ,Private/Non-Profit,452,1009296,762598,276,0,533482,545,1157061,1177400,AL,Region 3,Tuskegee,AL,31805.0
62,105100,university of alabama,AL,35487-0120     ,Public,545,1472805,1271133,682,0,1891962,1002,652462,1205827,AL,Region 2,Tuscaloosa,AL,23939.0
62,105100,university of alabama,AL,35487-0120     ,Public,545,1472805,1271133,682,0,1891962,1002,652462,1205827,AL,Region 2,Birmingham,AL,31194.0
63,105200,university of alabama at birmingham,AL,35294-1150     ,Public,530,1260458,1267472,716,0,2065474,577,680615,708107,AL,Region 2,Birmingham,AL,20441.0
64,105500,university of alabama in huntsville,AL,35899-0001     ,Public,74,172486,199013,0,0,0,97,142516,178372,AL,Region 2,Huntsville,AL,19687.0
65,102900,university of mobile,AL,36663-0220     ,Private/Non-Profit,74,114309,135146,16,0,36850,79,96648,115917,AL,Region 4,Mobile,AL,28778.0
66,100400,university of montevallo,AL,35115-6000     ,Public,110,185534,146807,36,0,148500,154,87751,169344,AL,Region 2,Montevallo,AL,18858.0
67,101600,university of north alabama,AL,35632-0001     ,Public,176,251403,302995,0,0,0,681,146350,182787,AL,Region 1,Florence,AL,13940.0
68,105700,university of south alabama,AL,36688-0002     ,Public,80,424276,197316,107,0,627811,1023,309421,562561,AL,Region 4,Mobile,AL,15805.0
69,102400,university of west alabama,AL,35470-0000     ,Public,159,340732,395221,2,0,3500,199,106247,150060,AL,Region 3,Livingston,AL,16609.0
70,3010600,virginia college,AL,35209-5154     ,Proprietary,327,774282,619613,0,0,0,3480,1555077,1927815,AL,Region 2,Birmingham,AL,24034.0
70,3010600,virginia college,AL,35209-5154     ,Proprietary,327,774282,619613,0,0,0,3480,1555077,1927815,AL,Region 2,Huntsville,AL,22813.0
70,3010600,virginia college,AL,35209-5154     ,Proprietary,327,774282,619613,0,0,0,3480,1555077,1927815,AL,Region 2,Mobile,AL,25681.0
70,3010600,virginia college,AL,35209-5154     ,Proprietary,327,774282,619613,0,0,0,3480,1555077,1927815,AL,Region 2,Montgomery,AL,19219.0
71,108700,arkansas baptist college,AR,72202-6099     ,Private/Non-Profit,73,56305,50392,0,0,0,56,63423,63646,AR,Catchment Area 5,Little Rock,AR,20128.0
72,1286000,arkansas northeastern college,AR,72316-1109     ,Public,0,43844,0,0,0,0,0,37421,0,AR,Catchment Area 7,Blytheville,AR,12116.0
73,109000,arkansas state university,AR,72401-0000     ,Public,230,587659,508090,414,0,936043,491,379899,341832,AR,Catchment Area 6,Jonesboro,AR,18346.0
74,109100,arkansas state university - beebe,AR,72012-1000     ,Public,47,86904,76554,0,0,0,176,83270,79305,AR,Catchment Area 6,Beebe,AR,11840.0
75,4203400,arkansas state university - newport,AR,72112-9073     ,Public,0,0,0,0,0,0,0,0,0,AR,Catchment Area 7,Newport,AR,9497.0
76,108900,arkansas tech university,AR,72801-2222     ,Public,195,256152,309688,32,0,143347,699,191732,248247,AR,Catchment Area 6,Russellville,AR,15739.0
78,109300,central baptist college,AR,72034-6470     ,Private/Non-Profit,27,29297,37138,0,0,0,137,28464,28464,AR,Catchment Area 3,Conway,AR,19762.0
79,997600,college of the ouachitas,AR,72104-0816     ,Public,12,32220,28702,0,0,0,80,25000,20850,AR,Catchment Area 5,Malvern,AR,11930.0
80,2220900,cossatot community college of the university of arkansas,AR,71832-0000     ,Public,19,32023,32219,0,0,0,79,29776,24800,AR,Catchment Area 5,De Queen,AR,11799.0
81,109500,crowley's ridge college,AR,72450-9775     ,Private/Non-Profit,15,12222,12222,0,0,0,15,7771,7771,AR,Catchment Area 6,Paragould,AR,17717.0
82,1226000,east arkansas community college,AR,72335-2204     ,Public,82,71379,53148,0,0,0,159,42078,48469,AR,Catchment Area 3,Forrest City,AR,9211.0
83,3855300,ecclesia college,AR,72762-8159     ,Private/Non-Profit,71,163210,249102,0,0,0,7,8537,9500,AR,Catchment Area 7,Springdale,AR,22564.0
84,109700,harding university,AR,72149-0001     ,Private/Non-Profit,461,411802,320858,314,0,719767,251,125826,116000,AR,Catchment Area 2,Searcy,AR,24610.0
85,109800,henderson state university,AR,71999-0001     ,Public,113,234243,234243,37,0,94915,130,110901,110901,AR,Catchment Area 8,Arkadelphia,AR,17525.0
86,109900,hendrix college,AR,72032-3080     ,Private/Non-Profit,216,159496,220799,102,0,146000,163,117891,157188,AR,Catchment Area 2,Conway,AR,47904.0
87,110000,john brown university,AR,72761-2747     ,Private/Non-Profit,246,149454,197271,107,0,298785,151,92671,128300,AR,Catchment Area 3,Siloam Springs,AR,31980.0
88,108800,lyon college,AR,72501-3699     ,Private/Non-Profit,143,95385,106721,19,0,76700,57,43826,43903,AR,Catchment Area 3,Batesville,AR,32544.0
92,1226100,north arkansas college,AR,72601-5508     ,Public,71,137734,119346,0,0,0,137,62889,91334,AR,Catchment Area 7,Harrison,AR,10771.0
93,3063300,northwest arkansas community college,AR,72712-5190     ,Public,95,187993,269417,0,0,0,244,125000,164419,AR,Catchment Area 5,Bentonville,AR,16731.0
94,110200,ouachita baptist university,AR,71998-0001     ,Private/Non-Profit,317,338488,493130,24,0,100604,73,67824,67824,AR,Catchment Area 3,Arkadelphia,AR,30152.0
95,2087000,ozarka college,AR,72556-0010     ,Public,32,50000,44024,0,0,0,231,30000,32500,AR,Catchment Area 5,Melbourne,AR,12164.0
96,110300,philander smith college,AR,72202-3718     ,Private/Non-Profit,87,141682,142245,0,0,0,95,61095,61095,AR,Catchment Area 8,Little Rock,AR,23408.0
97,110400,phillips community college of the university of arkansas,AR,72342-0000     ,Public,76,99987,100266,0,0,0,211,64084,64084,AR,Catchment Area 3,Helena,AR,16644.0
102,2074600,south arkansas community college,AR,71731-7010     ,Public,57,54465,91673,0,0,0,97,50499,45501,AR,Catchment Area 2,El Dorado,AR,14853.0
103,570700,southeast arkansas college,AR,71603-3900     ,Public,23,89417,58254,0,0,0,317,104419,114979,AR,Catchment Area 2,Pine Bluff,AR,13343.0
104,110700,southern arkansas university,AR,71753-5000     ,Public,542,473956,864043,9,0,15500,161,124660,124660,AR,Catchment Area 3,Magnolia,AR,17345.0
105,773800,southern arkansas university tech,AR,71701-1900     ,Public,20,29841,28420,0,0,0,111,51323,48878,AR,Catchment Area 5,Camden,AR,14767.0
106,110800,university of arkansas,AR,72701-0000     ,Public,576,1021761,1138211,870,0,2363506,1004,937253,1193700,AR,Catchment Area 3,Fayetteville,AR,19036.0
107,111000,university of arkansas at fort smith,AR,72904-7397     ,Public,77,202619,151452,0,0,0,405,181862,174420,AR,Catchment Area 7,Fort Smith,AR,14148.0
108,110100,university of arkansas at little rock,AR,72204-1099     ,Public,180,462929,435866,0,0,0,550,253466,426667,AR,Catchment Area 7,Little Rock,AR,18991.0
109,108500,university of arkansas at monticello,AR,71656-0000     ,Public,144,207112,184822,0,0,0,171,132521,120469,AR,Catchment Area 6,Monticello,AR,16091.0
110,108600,university of arkansas at pine bluff,AR,71601-2790     ,Public,130,345418,169205,0,0,0,428,327207,387158,AR,Catchment Area 6,Pine Bluff,AR,15952.0
111,2073500,university of arkansas community college at batesville,AR,72503-0000     ,Public,41,57353,67650,0,0,0,165,55270,44973,AR,Catchment Area 1,Batesville,AR,10372.0
112,573200,university of arkansas community college at hope,AR,71801-0000     ,Public,16,39118,39118,0,0,0,165,36502,34721,AR,Catchment Area 2,North Little Rock,AR,16323.0
112,573200,university of arkansas community college at hope,AR,71801-0000     ,Public,16,39118,39118,0,0,0,165,36502,34721,AR,Catchment Area 2,Hope,AR,15281.0
113,524500,university of arkansas community college at morrilton,AR,72110-9601     ,Public,35,60500,52873,0,0,0,149,53562,51056,AR,Catchment Area 1,Morrilton,AR,8925.0
113,524500,university of arkansas community college at morrilton,AR,72110-9601     ,Public,35,60500,52873,0,0,0,149,53562,51056,AR,Catchment Area 1,Mena,AR,10835.0
115,109200,university of central arkansas,AR,72035-0001     ,Public,393,610072,610108,321,0,604848,261,234006,232333,AR,Catchment Area 6,Conway,AR,17990.0
115,109200,university of central arkansas,AR,72035-0001     ,Public,393,610072,610108,321,0,604848,261,234006,232333,AR,Catchment Area 6,Rogers,AR,23144.0
116,109400,university of the ozarks,AR,72830-2880     ,Private/Non-Profit,125,81948,106965,1,0,700,32,39671,44266,AR,Catchment Area 6,Clarksville,AR,33316.0
118,1001000,american samoa community college,AS,96799-2609     ,Public,125,56865,60860,0,0,0,512,61509,61300,AS,Catchment Area 5,PagoPago,AS,5180.0
124,711300,arizona christian university,AZ,85032-7097     ,Private/Non-Profit,18,15716,19308,0,0,0,32,19699,24624,AZ,Rural South,Phoenix,AZ,33528.0
125,3115000,arizona college,AZ,85302-3843     ,Proprietary,23,36867,32205,0,0,0,112,40558,66601,AZ,Rural North,Glendale,AZ,23432.0
126,108100,arizona state university,AZ,85287-0412     ,Public,1623,2688650,3730250,804,0,2119628,2982,2375146,2684848,AZ,Maricopa,Tempe,AZ,21537.0
127,107100,arizona western college,AZ,85365-8847     ,Public,139,310622,377172,0,0,0,1809,295079,367499,AZ,Rural North,Yuma,AZ,13804.0
128,4051300,art institute of phoenix (the),AZ,85021-2859     ,Proprietary,260,1200000,710140,222,0,795523,12770,2748449,4064598,AZ,Rural South,Phoenix,AZ,30526.0
131,728300,central arizona college,AZ,85228-9779     ,Public,90,155541,134296,0,0,0,239,129927,123431,AZ,Maricopa,Coolidge,AZ,9439.0
132,3072200,chandler - gilbert community college,AZ,85225-2499     ,Public,35,143000,155090,0,0,0,219,130000,153816,AZ,Maricopa,Chandler,AZ,10851.0
134,3100400,coconino county community college,AZ,86001-2701     ,Public,46,93984,89509,0,0,0,121,153487,146178,AZ,Rural South,Flagstaff,AZ,14343.0
135,3120300,collegeamerica - flagstaff,AZ,86004-3936     ,Proprietary,8,52126,54071,0,0,0,629,51574,69807,AZ,Rural South,Flagstaff,AZ,26461.0
138,2582700,cortiva institute - tucson,AZ,85710-3503     ,Proprietary,1,8000,1730,0,0,0,68,16000,22050,AZ,Rural South,Tucson,AZ,29424.0
139,824600,dine college,AZ,86556-0126     ,Public,91,85466,95230,0,0,0,119,96712,74324,AZ,Maricopa,Tsaile,AZ,11459.0
141,107300,eastern arizona college,AZ,85552-0769     ,Public,167,231260,231268,0,0,0,108,103578,101078,AZ,Rural North,Thatcher,AZ,10656.0
142,3156300,estrella mountain community college,AZ,85392-1010     ,Public,50,215118,177306,0,0,0,502,222221,347265,AZ,Maricopa,Avondale,AZ,10672.0
143,2295000,everest college phoenix,AZ,85021-1610     ,Proprietary,4,6123,6164,0,0,0,1012,180940,246033,AZ,Rural South,Phoenix,AZ,22400.0
144,830300,gateway community college,AZ,85034-1795     ,Public,55,229207,193990,16,0,15500,554,201840,238909,AZ,Maricopa,Phoenix,AZ,12465.0
144,830300,gateway community college,AZ,85034-1795     ,Public,55,229207,193990,16,0,15500,554,201840,238909,CT,South Central,New Haven,CT,11384.0
145,107600,glendale community college,AZ,85302-3090     ,Public,178,446741,269087,0,0,0,1167,514433,831765,AZ,Maricopa,Glendale,AZ,11347.0
