,OPE ID,School,State_x,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,State_y,Region,CITY,STABBR,COSTT4_A
24,101500,enterprise state community college,AL,363311300,Public,50,103742.0,78026,0,0,0,131,54489.0,73200,AL,Region 4,Enterprise,AL,10193.0
25,100300,faulkner university,AL,361093398,Private/Non-Profit,209,309499.0,278180,17,0,50704,269,200674.0,199454,AL,Region 3,Montgomery,AL,28485.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,AL,Region 2,Mobile,AL,16035.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,AL,Region 2,Montgomery,AL,28764.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,AL,Region 3,Mobile,AL,16035.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,AL,Region 3,Montgomery,AL,28764.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,FL,Circuit 10,Winter Park,FL,31994.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,FL,Circuit 10,Miami,FL,22867.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,FL,Circuit 10,Orange Park,FL,24069.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,FL,Circuit 10,Largo,FL,15181.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,FL,Circuit 1,Winter Park,FL,31994.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,FL,Circuit 1,Miami,FL,22867.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,FL,Circuit 1,Orange Park,FL,24069.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,FL,Circuit 1,Largo,FL,15181.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,LA,Regions 2 and 9,Baton Rouge,LA,28959.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,OH,"Boards 2, 46, 55, and 68",Ravenna,OH,25172.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,OH,"Boards 2, 46, 55, and 68",Cuyahoga Falls,OH,27901.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,OH,"Boards 2, 46, 55, and 68",Centerville,OH,26549.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,OH,"Boards 2, 46, 55, and 68",Westerville,OH,22707.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,OH,"Boards 2, 46, 55, and 68",Cincinnati,OH,30890.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,OH,Boards 23 and 45,Ravenna,OH,25172.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,OH,Boards 23 and 45,Cuyahoga Falls,OH,27901.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,OH,Boards 23 and 45,Centerville,OH,26549.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,OH,Boards 23 and 45,Westerville,OH,22707.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,OH,Boards 23 and 45,Cincinnati,OH,30890.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,VA,Region 5,Norfolk,VA,43594.0
26,2341000,fortis college,AL,366083712,Proprietary,33,97317.0,94595,0,0,0,545,96256.0,133415,VA,Region 5,Richmond,VA,24939.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,AL,Region 2,Mobile,AL,16035.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,AL,Region 2,Montgomery,AL,28764.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,AL,Region 3,Mobile,AL,16035.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,AL,Region 3,Montgomery,AL,28764.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,FL,Circuit 10,Winter Park,FL,31994.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,FL,Circuit 10,Miami,FL,22867.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,FL,Circuit 10,Orange Park,FL,24069.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,FL,Circuit 10,Largo,FL,15181.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,FL,Circuit 1,Winter Park,FL,31994.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,FL,Circuit 1,Miami,FL,22867.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,FL,Circuit 1,Orange Park,FL,24069.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,FL,Circuit 1,Largo,FL,15181.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,LA,Regions 2 and 9,Baton Rouge,LA,28959.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,OH,"Boards 2, 46, 55, and 68",Ravenna,OH,25172.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,OH,"Boards 2, 46, 55, and 68",Cuyahoga Falls,OH,27901.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,OH,"Boards 2, 46, 55, and 68",Centerville,OH,26549.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,OH,"Boards 2, 46, 55, and 68",Westerville,OH,22707.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,OH,"Boards 2, 46, 55, and 68",Cincinnati,OH,30890.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,OH,Boards 23 and 45,Ravenna,OH,25172.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,OH,Boards 23 and 45,Cuyahoga Falls,OH,27901.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,OH,Boards 23 and 45,Centerville,OH,26549.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,OH,Boards 23 and 45,Westerville,OH,22707.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,OH,Boards 23 and 45,Cincinnati,OH,30890.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,VA,Region 5,Norfolk,VA,43594.0
27,3361400,fortis college,AL,365350000,Proprietary,18,29642.0,29954,0,0,0,135,24849.0,32891,VA,Region 5,Richmond,VA,24939.0
28,101700,gadsden state community college,AL,359032269,Public,78,167530.0,149190,0,0,0,426,168820.0,272600,AL,Region 1,Gadsden,AL,10247.0
29,101800,george c. wallace community college,AL,363030943,Public,64,130331.0,127446,0,0,0,274,134251.0,127858,AL,Region 1,Dothan,AL,8140.0
30,787100,george c. wallace state community college,AL,350772000,Public,74,169681.0,166906,0,0,0,313,191727.0,162407,AL,Region 4,Hanceville,AL,10822.0
31,569900,george corley wallace state community college - selma,AL,367032808,Public,43,86005.0,93392,0,0,0,232,118409.0,121496,AL,Region 4,Selma,AL,14835.0
32,573400,h. councill trenholm state technical college,AL,361080020,Public,31,48252.0,30175,0,0,0,139,51784.0,67246,AL,Region 4,Montgomery,AL,9955.0
33,2199700,heritage christian university,AL,356306245,Private/Non-Profit,5,7124.0,5611,0,0,0,23,5544.0,6670,AL,Region 4,Florence,AL,21160.0
34,101900,huntingdon college,AL,361062148,Private/Non-Profit,176,100375.0,112011,54,0,80750,102,92714.0,92714,AL,Region 1,Montgomery,AL,31433.0
36,102000,jacksonville state university,AL,362651602,Public,185,421149.0,405337,0,0,0,471,217689.0,207323,AL,Region 1,Jacksonville,AL,19202.0
38,102100,jefferson davis community college,AL,364272790,Public,25,30989.0,32027,0,0,0,53,28890.0,31400,AL,Region 2,Brewton,AL,9149.0
39,102200,jefferson state community college,AL,352153098,Public,120,435096.0,386771,0,0,0,640,336833.0,426267,AL,Region 2,Birmingham,AL,12943.0
40,102300,judson college,AL,367562504,Private/Non-Profit,61,48153.0,64204,7,0,24800,27,10939.0,14585,AL,Region 3,Marion,AL,27815.0
41,105900,lawson state community college,AL,352211798,Public,161,249714.0,272212,0,0,0,163,118265.0,77945,AL,Region 2,Birmingham,AL,12602.0
42,898800,lurleen b. wallace community college,AL,364200418,Public,101,149009.0,139246,0,0,0,134,50636.0,48236,AL,Region 4,Andalusia,AL,13204.0
43,102600,marion military institute,AL,367563214,Public,33,20000.0,19992,0,0,0,35,14370.0,14414,AL,Region 3,Marion,AL,16520.0
44,102800,miles college,AL,350642697,Private/Non-Profit,295,322846.0,263807,0,0,0,416,300208.0,358896,AL,Region 2,Fairfield,AL,21336.0
45,103100,northeast alabama community college,AL,359860159,Public,43,79174.0,80361,0,0,0,126,66470.0,64086,AL,Region 4,Rainsville,AL,7860.0
46,569700,northwest - shoals community college,AL,356623206,Public,49,86606.0,102656,0,0,0,289,85407.0,61052,AL,Region 4,Muscle Shoals,AL,9111.0
47,103300,oakwood university,AL,358960001,Private/Non-Profit,75,226411.0,194727,0,0,0,197,278941.0,293785,AL,Region 1,Huntsville,AL,34705.0
48,569200,reid state technical college,AL,364010000,Public,30,49546.0,34231,0,0,0,86,51346.0,63732,AL,Region 4,Evergreen,AL,9693.0
49,103600,samford university,AL,352297000,Private/Non-Profit,285,453771.0,342186,195,0,542991,221,85236.0,212144,AL,Region 2,Birmingham,AL,38835.0
51,569100,shelton state community college,AL,354054017,Public,62,127782.0,95989,0,0,0,267,124270.0,147330,AL,Region 4,Tanner,AL,9829.0
51,569100,shelton state community college,AL,354054017,Public,62,127782.0,95989,0,0,0,267,124270.0,147330,AL,Region 4,Tuscaloosa,AL,13007.0
52,103800,snead state community college,AL,359570734,Public,36,61073.0,63742,0,0,0,49,52464.0,33732,AL,Region 4,Boaz,AL,9622.0
53,2270400,southeastern bible college,AL,352442083,Private/Non-Profit,8,9632.0,12842,0,0,0,17,6540.0,8320,AL,Region 4,Birmingham,AL,19127.0
54,104000,southern union state community college,AL,362760000,Public,90,112511.0,96154,0,0,0,148,97348.0,103712,AL,Region 4,Wadley,AL,13027.0
55,104100,spring hill college,AL,366081791,Private/Non-Profit,112,111372.0,173171,123,0,244123,304,105992.0,141323,AL,Region 2,Mobile,AL,43325.0
56,104400,stillman college,AL,354011430,Private/Non-Profit,147,213000.0,160076,0,0,0,350,323189.0,352041,AL,Region 2,Tuscaloosa,AL,24744.0
57,104600,talladega college,AL,351602354,Private/Non-Profit,94,162608.0,171012,0,0,0,114,321995.0,269606,AL,Region 2,Talladega,AL,18758.0
58,104700,troy university,AL,360820001,Public,400,804718.0,739840,153,0,471095,255,460711.0,490711,AL,Region 4,Troy,AL,16877.0
59,105000,tuskegee university,AL,360881645,Private/Non-Profit,537,1009296.0,886357,487,0,1742883,516,1157061.0,1188664,AL,Region 3,Tuskegee,AL,32853.0
61,105100,university of alabama,AL,354870120,Public,583,1472805.0,1207258,673,0,1870483,1035,608477.0,1203567,AL,Region 2,Tuscaloosa,AL,26717.0
61,105100,university of alabama,AL,354870120,Public,583,1472805.0,1207258,673,0,1870483,1035,608477.0,1203567,AL,Region 2,Birmingham,AL,32554.0
62,105200,university of alabama at birmingham,AL,352941150,Public,501,1260458.0,1215412,675,0,1721203,662,680615.0,851838,AL,Region 2,Birmingham,AL,19990.0
63,105500,university of alabama in huntsville,AL,358990001,Public,70,148091.0,212487,0,0,0,87,114474.0,154896,AL,Region 2,Huntsville,AL,20306.0
64,102900,university of mobile,AL,366630220,Private/Non-Profit,76,108323.0,130090,8,0,31000,91,85362.0,107839,AL,Region 4,Mobile,AL,30108.0
65,100400,university of montevallo,AL,351156000,Public,106,185534.0,138353,12,0,42500,156,87751.0,157450,AL,Region 2,Montevallo,AL,20194.0
66,101600,university of north alabama,AL,356320001,Public,180,251403.0,288835,0,0,0,579,138919.0,170575,AL,Region 1,Florence,AL,15058.0
67,105700,university of south alabama,AL,366880002,Public,144,500000.0,382537,94,0,558000,985,276982.0,535976,AL,Region 4,Mobile,AL,17125.0
68,102400,university of west alabama,AL,354700000,Public,135,349081.0,370771,14,0,27500,137,96412.0,93985,AL,Region 3,Livingston,AL,17959.0
69,3010600,virginia college,AL,352095154,Proprietary,365,764457.0,675493,0,0,0,3011,1443894.0,1774234,AL,Region 2,Birmingham,AL,20980.0
69,3010600,virginia college,AL,352095154,Proprietary,365,764457.0,675493,0,0,0,3011,1443894.0,1774234,AL,Region 2,Huntsville,AL,22243.0
69,3010600,virginia college,AL,352095154,Proprietary,365,764457.0,675493,0,0,0,3011,1443894.0,1774234,AL,Region 2,Mobile,AL,22176.0
69,3010600,virginia college,AL,352095154,Proprietary,365,764457.0,675493,0,0,0,3011,1443894.0,1774234,AL,Region 2,Montgomery,AL,15462.0
70,108700,arkansas baptist college,AR,722026099,Private/Non-Profit,43,48234.0,43234,0,0,0,127,56541.0,56541,AR,Catchment Area 5,Little Rock,AR,20024.0
72,109000,arkansas state university,AR,724010000,Public,205,525659.0,510946,496,0,1137384,398,325747.0,300776,AR,Catchment Area 6,Jonesboro,AR,18809.0
73,109100,arkansas state university - beebe,AR,720121000,Public,67,100000.0,78981,0,0,0,272,100000.0,119990,AR,Catchment Area 6,Beebe,AR,11558.0
74,4203400,arkansas state university - newport,AR,721129073,Public,24,62000.0,40299,0,0,0,26,16000.0,11500,AR,Catchment Area 7,Newport,AR,9282.0
75,108900,arkansas tech university,AR,728012222,Public,178,249668.0,285422,44,0,134725,904,178313.0,259597,AR,Catchment Area 6,Russellville,AR,16126.0
77,109300,central baptist college,AR,720346470,Private/Non-Profit,23,25862.0,29237,0,0,0,130,25813.0,30918,AR,Catchment Area 3,Conway,AR,20386.0
78,997600,college of the ouachitas,AR,721040816,Public,11,28101.0,22920,0,0,0,102,25000.0,24300,AR,Catchment Area 5,Malvern,AR,12215.0
79,2220900,cossatot community college of the university of arkansas,AR,718320000,Public,13,28167.0,25719,0,0,0,112,27163.0,25400,AR,Catchment Area 5,De Queen,AR,11753.0
80,109500,crowley's ridge college,AR,724509775,Private/Non-Profit,18,12222.0,12222,0,0,0,14,7530.0,7030,AR,Catchment Area 6,Paragould,AR,18790.0
81,1226000,east arkansas community college,AR,723352204,Public,67,71379.0,52523,0,0,0,368,73223.0,84405,AR,Catchment Area 3,Forrest City,AR,8767.0
82,3855300,ecclesia college,AR,727628159,Private/Non-Profit,95,161763.0,167885,0,0,0,5,6873.0,7988,AR,Catchment Area 7,Springdale,AR,25657.0
83,109700,harding university,AR,721490001,Private/Non-Profit,515,411802.0,510497,289,0,704319,233,110652.0,143000,AR,Catchment Area 2,Searcy,AR,25475.0
84,109800,henderson state university,AR,719990001,Public,109,234243.0,234243,54,0,216938,169,108300.0,108300,AR,Catchment Area 8,Arkadelphia,AR,18033.0
85,109900,hendrix college,AR,720323080,Private/Non-Profit,266,147637.0,301204,115,0,176500,144,105396.0,139528,AR,Catchment Area 2,Conway,AR,50172.0
86,110000,john brown university,AR,727612747,Private/Non-Profit,247,149454.0,201958,67,0,220475,116,65714.0,81300,AR,Catchment Area 3,Siloam Springs,AR,33326.0
87,108800,lyon college,AR,725013699,Private/Non-Profit,143,95385.0,105461,33,0,134849,75,38580.0,73159,AR,Catchment Area 3,Batesville,AR,33355.0
91,1226100,north arkansas college,AR,726015508,Public,99,137734.0,149785,0,0,0,124,60646.0,45042,AR,Catchment Area 7,Harrison,AR,9463.0
92,3063300,northwest arkansas community college,AR,727125190,Public,91,168144.0,213077,0,0,0,274,130000.0,172761,AR,Catchment Area 5,Bentonville,AR,12052.0
93,110200,ouachita baptist university,AR,719980001,Private/Non-Profit,320,338488.0,486903,57,0,268005,73,67824.0,90432,AR,Catchment Area 3,Arkadelphia,AR,31473.0
94,2087000,ozarka college,AR,725560010,Public,32,50000.0,44537,0,0,0,162,30000.0,33750,AR,Catchment Area 5,Melbourne,AR,11364.0
95,110300,philander smith college,AR,722023718,Private/Non-Profit,73,141682.0,141076,0,0,0,71,44087.0,44087,AR,Catchment Area 8,Little Rock,AR,24877.0
96,110400,phillips community college of the university of arkansas,AR,723420000,Public,82,99987.0,100981,0,0,0,176,57792.0,57792,AR,Catchment Area 3,Helena,AR,16140.0
101,2074600,south arkansas community college,AR,717317010,Public,63,51664.0,109874,0,0,0,106,50831.0,45950,AR,Catchment Area 2,El Dorado,AR,17675.0
102,570700,southeast arkansas college,AR,716033900,Public,31,77341.0,46780,0,0,0,291,82879.0,112492,AR,Catchment Area 2,Pine Bluff,AR,9672.0
103,110700,southern arkansas university,AR,717535000,Public,522,473956.0,842874,51,0,123764,59,87031.0,55500,AR,Catchment Area 3,Magnolia,AR,17738.0
104,773800,southern arkansas university tech,AR,717011900,Public,19,27057.0,25769,0,0,0,131,51346.0,48901,AR,Catchment Area 5,Camden,AR,16258.0
105,110800,university of arkansas,AR,727010000,Public,576,1021761.0,1064167,773,0,2165619,1056,937253.0,1247004,AR,Catchment Area 3,Fayetteville,AR,19917.0
106,111000,university of arkansas at fort smith,AR,729047397,Public,94,170515.0,173786,0,0,0,401,123082.0,123082,AR,Catchment Area 7,Fort Smith,AR,14335.0
107,110100,university of arkansas at little rock,AR,722041099,Public,173,435563.0,380830,0,0,0,440,234273.0,262019,AR,Catchment Area 7,Little Rock,AR,19894.0
108,108500,university of arkansas at monticello,AR,716560000,Public,141,207112.0,197702,0,0,0,190,125685.0,119286,AR,Catchment Area 6,Monticello,AR,16255.0
109,108600,university of arkansas at pine bluff,AR,716012790,Public,199,345418.0,301455,0,0,0,436,327207.0,394659,AR,Catchment Area 6,Pine Bluff,AR,15414.0
110,2073500,university of arkansas community college at batesville,AR,725030000,Public,32,48074.0,51465,0,0,0,119,49925.0,43993,AR,Catchment Area 1,Batesville,AR,7631.0
111,573200,university of arkansas community college at hope,AR,718010000,Public,14,28507.0,28507,0,0,0,126,26571.0,25171,AR,Catchment Area 2,North Little Rock,AR,17064.0
111,573200,university of arkansas community college at hope,AR,718010000,Public,14,28507.0,28507,0,0,0,126,26571.0,25171,AR,Catchment Area 2,Hope,AR,14349.0
112,524500,university of arkansas community college at morrilton,AR,721109601,Public,30,54949.0,42750,0,0,0,141,53147.0,49600,AR,Catchment Area 1,Morrilton,AR,11593.0
112,524500,university of arkansas community college at morrilton,AR,721109601,Public,30,54949.0,42750,0,0,0,141,53147.0,49600,AR,Catchment Area 1,Mena,AR,10415.0
114,109200,university of central arkansas,AR,720350001,Public,437,610072.0,635095,839,0,2296927,247,214050.0,218959,AR,Catchment Area 6,Conway,AR,17899.0
114,109200,university of central arkansas,AR,720350001,Public,437,610072.0,635095,839,0,2296927,247,214050.0,218959,AR,Catchment Area 6,Rogers,AR,23206.0
115,109400,university of the ozarks,AR,728302880,Private/Non-Profit,135,81948.0,139588,0,0,0,60,34590.0,58608,AR,Catchment Area 6,Clarksville,AR,34532.0
117,1001000,american samoa community college,AS,967992609,Public,102,51439.0,53886,0,0,0,469,64127.0,58920,AS,Catchment Area 5,PagoPago,AS,6410.0
122,711300,arizona christian university,AZ,850327097,Private/Non-Profit,19,17814.0,23752,0,0,0,20,17586.0,20500,AZ,Rural South,Phoenix,AZ,34444.0
123,3115000,arizona college,AZ,853023843,Proprietary,27,33530.0,60822,0,0,0,45,35525.0,27500,AZ,Rural North,Glendale,AZ,24240.0
124,108100,arizona state university,AZ,852870412,Public,1845,2855603.0,4336496,687,0,1858887,2285,2328498.0,2337657,AZ,Maricopa,Tempe,AZ,21960.0
124,108100,arizona state university,AZ,852870412,Public,1845,2855603.0,4336496,687,0,1858887,2285,2328498.0,2337657,AZ,Maricopa,Glendale,AZ,20269.0
124,108100,arizona state university,AZ,852870412,Public,1845,2855603.0,4336496,687,0,1858887,2285,2328498.0,2337657,AZ,Maricopa,Mesa,AZ,21256.0
124,108100,arizona state university,AZ,852870412,Public,1845,2855603.0,4336496,687,0,1858887,2285,2328498.0,2337657,AZ,Maricopa,Phoenix,AZ,22909.0
124,108100,arizona state university,AZ,852870412,Public,1845,2855603.0,4336496,687,0,1858887,2285,2328498.0,2337657,AZ,Maricopa,Scottsdale,AZ,19666.0
126,107100,arizona western college,AZ,853658847,Public,147,310622.0,295484,0,0,0,1770,294260.0,365918,AZ,Rural North,Yuma,AZ,14337.0
127,4051300,art institute of phoenix (the),AZ,850212859,Proprietary,280,1200000.0,839572,180,0,667193,11272,2289818.0,3453091,AZ,Rural South,Phoenix,AZ,30617.0
130,728300,central arizona college,AZ,852289779,Public,83,148556.0,127332,0,0,0,266,129846.0,123663,AZ,Maricopa,Coolidge,AZ,9205.0
131,3072200,chandler - gilbert community college,AZ,852252499,Public,39,143000.0,139914,0,0,0,321,130000.0,199480,AZ,Maricopa,Chandler,AZ,12306.0
133,3100400,coconino county community college,AZ,860052701,Public,46,93984.0,89509,0,0,0,119,153487.0,146178,AZ,Rural South,Flagstaff,AZ,14389.0
134,3120300,collegeamerica - flagstaff,AZ,860043936,Proprietary,9,45454.0,43315,0,0,0,633,47768.0,71140,AZ,Rural South,Flagstaff,AZ,26842.0
137,2582700,cortiva institute - tucson,AZ,857103503,Proprietary,2,4394.0,472,0,0,0,85,14391.0,22175,AZ,Rural South,Tucson,AZ,29827.0
138,824600,dine college,AZ,865560126,Public,46,51946.0,48368,0,0,0,87,43749.0,47000,AZ,Maricopa,Tsaile,AZ,11396.0
140,107300,eastern arizona college,AZ,855520769,Public,152,231260.0,207763,0,0,0,165,103578.0,103578,AZ,Rural North,Thatcher,AZ,11649.0
141,3156300,estrella mountain community college,AZ,853921010,Public,64,211365.0,277738,0,0,0,384,230825.0,292684,AZ,Maricopa,Avondale,AZ,11959.0
142,2295000,everest college phoenix,AZ,850211610,Proprietary,4,7041.0,5724,0,0,0,676,109183.0,156542,AZ,Rural South,Phoenix,AZ,25089.0
142,2295000,everest college phoenix,AZ,850211610,Proprietary,4,7041.0,5724,0,0,0,676,109183.0,156542,AZ,Rural South,Phoenix,AZ,32523.0
143,830300,gateway community college,AZ,850341795,Public,58,173933.0,205897,10,0,24029,315,195731.0,160084,AZ,Maricopa,Phoenix,AZ,12673.0
143,830300,gateway community college,AZ,850341795,Public,58,173933.0,205897,10,0,24029,315,195731.0,160084,CT,South Central,New Haven,CT,11208.0
144,107600,glendale community college,AZ,853023090,Public,158,379599.0,323466,1,0,2000,1165,522258.0,827590,AZ,Maricopa,Glendale,AZ,12043.0
